Papel,Cotação,Tipo,Data últ cot,Empresa,Min 52 sem,Setor,Max 52 sem,Subsetor,Vol $ méd (2m)
KRSA3,"5,03",ON NM,30/11/2021,KORA SAUDE ON NM,"5,03",Serv.Méd.Hospit. Análises e Diagnósticos,"8,15",Serv.Méd.Hospit. Análises e Diagnósticos,1.379.940
KROT4,"5,12",PN N2,30/11/2012,COGNA PN N2,"0,00",Diversos,"0,00",Serviços Educacionais,0
LAME3,"5,44",ON,30/11/2021,LOJAS AMERICANAS S.A. ON,"4,37",Comércio,"10,68",Produtos Diversos,39.324.600
KSSA3,"5,33",ON NM,11/02/2010,KLABINSEGALL ON NM,"0,00",Construção Civil,"0,00",Incorporações,0
IRBR3,"4,31",ON NM,30/11/2021,IRBBRASIL RE ON NM,"4,00",Previdência e Seguros,"8,21",Seguradoras,69.822.300
KEPL3,"31,23",ON,30/11/2021,KEPLER WEBER SA ON,"27,87",Máquinas e Equipamentos,"45,94",Máq. e Equip. Industriais,10.021.000
KLBN11,"23,87",UNT N2,30/11/2021,KLABIN UNT N2,"22,02",Madeira e Papel,"30,70",Papel e Celulose,147.575.000
IMCH3,"6,39",ON NM,30/03/2015,IMC HOLDINGS ON NM,"0,00",Hoteis e Restaurantes,"0,00",Restaurante e Similares,0
IMBI4,"3,50",PN,22/11/2016,COMPANHIA DOCAS DE IMBITUBA PN,"0,00",Transporte,"0,00",Serviços de Apoio e Armazenagem,0
JOPA3,"28,50",ON,30/11/2021,JOSAPAR S/A ON,"28,00",Alimentos Processados,"38,98",Alimentos Diversos,9.175
JFEN3,"1,08",ON,30/11/2021,JOÃO FORTES ENGENHARIA S.A. ON,"1,08",Construção Civil,"6,50",Incorporações,637.663
JPSA3,"29,02",ON,19/11/2021,IGUATEMI S.A ON,"21,43",Exploração de Imóveis,"36,68",Exploração de Imóveis,7.666.510
JSLG3,"7,22",ON NM,30/11/2021,JULIO SIMOES ON NM,"6,62",Transporte,"12,61",Transporte Rodoviário,6.049.840
JALL3,"9,04",ON NM,30/11/2021,JALLESMACHAD ON NM,"7,30",Alimentos Processados,"10,65",Açucar e Alcool,7.408.340
ITUB3,"20,10",ON N1,30/11/2021,ITAUUNIBANCO ON N1,"18,03",Intermediários Financeiros,"23,48",Bancos,33.132.900
IVTT3,"0,00",ON NM,-,BHG ON NM,"0,00",Exploração de Imóveis,"0,00",Exploração de Imóveis,0
ITUB4,"22,38",PN N1,30/11/2021,ITAUUNIBANCO PN N1,"20,02",Intermediários Financeiros,"27,05",Bancos,1.041.110.000
IGTI11,"190,00",UNT N1,30/11/2021,IGUATEMI S.A UNT N1,"190,00",Exploração de Imóveis,"211,50",Exploração de Imóveis,8.018.770
ITSA4,"9,67",PN N1,30/11/2021,ITAÚSA PN N1,"9,38",Intermediários Financeiros,"11,84",Bancos,331.570.000
ITSA3,"9,71",ON N1,30/11/2021,ITAÚSA ON N1,"9,71",Intermediários Financeiros,"12,47",Bancos,2.647.500
INHA3,"0,00",ON,30/12/1899,GAFISA ON,"0,00",Construção Civil,"0,00",Incorporações,0
ITEC3,"40,10",ON,28/05/2019,ITAUTEC PHILCO SA - GRUPO ITAUTEC PHILCO ON,"40,10",Computadores e Equipamentos,"57,39",Computadores e Equipamentos,0
INTB3,"26,54",ON NM,30/11/2021,INTELBRAS ON NM,"16,91",Computadores e Equipamentos,"33,12",Computadores e Equipamentos,49.361.800
